codigo,nome,unidade,material,maoDeObra,total
30.105.000925.SER,"Dissipador de energia para saída de galeria tubular simples Ø 0.6 m boca a 15°",un,588.57,419.71,1008.28
30.105.000927.SER,"Dissipador de energia para saída de galeria tubular simples Ø 0.8 m boca a 15°",un,834.40,584.89,1419.29
30.105.000929.SER,"Dissipador de energia para saída de galeria tubular simples Ø 1.0 m boca a 15°",un,1114.94,770.13,1885.07
30.105.000931.SER,"Dissipador de energia para saída de galeria tubular simples Ø 1.2 m boca a 15°",un,1430.20,975.45,2405.66
30.105.000933.SER,"Dissipador de energia para saída de galeria tubular simples Ø 1.5 m boca a 15°",un,1825.02,1227.85,3052.88
30.105.000935.SER,"Dissipador de energia para saída de galeria tubular simples Ø 0.4 m boca a 30°",un,465.32,340.66,805.98
30.105.000937.SER,"Dissipador de energia para saída de galeria tubular simples Ø 0.6 m boca a 30°",un,622.19,440.78,1062.97
30.105.000939.SER,"Dissipador de energia para saída de galeria tubular simples Ø 0.8 m boca a 30°",un,887.61,617.72,1505.33
30.105.000941.SER,"Dissipador de energia para saída de galeria tubular simples Ø 1.0 m boca a 30°",un,1184.94,814.40,1999.34
30.105.000943.SER,"Dissipador de energia para saída de galeria tubular simples Ø 1.2 m boca a 30°",un,1532.16,1037.23,2569.39
30.105.000945.SER,"Dissipador de energia para saída de galeria tubular simples Ø 1.5 m boca a 30°",un,1963.94,1311.55,3275.48
30.105.000947.SER,"Dissipador de energia para saída de galeria tubular simples Ø 0.4 m boca a 45°",un,481.82,339.92,821.74
30.105.000949.SER,"Dissipador de energia para saída de galeria tubular simples Ø 0.6 m boca a 45°",un,698.36,488.53,1186.89
30.105.000951.SER,"Dissipador de energia para saída de galeria tubular simples Ø 0.8 m boca a 45°",un,1002.42,688.57,1690.99
30.105.000953.SER,"Dissipador de energia para saída de galeria tubular simples Ø 1.0 m boca a 45°",un,1356.91,917.88,2274.79
30.105.000955.SER,"Dissipador de energia para saída de galeria tubular simples Ø 1.2 m boca a 45°",un,1755.30,1172.27,2927.57
30.105.000957.SER,"Dissipador de energia para saída de galeria tubular simples Ø 1.5 m boca a 45°",un,2268.64,1495.12,3763.76
30.105.001011.SER,"Galeria em concreto célula 1.5 x 1.5 m profundidade de até 1 m",m,1401.31,621.68,2022.99
30.105.001012.SER,"Galeria em concreto célula 1.5 x 1.5 m profundidade de 1 a 2.5 m",m,1282.99,536.46,1819.45
30.105.001013.SER,"Galeria em concreto célula 1.5 x 1.5 m profundidade de 2.5 a 5 m",m,1363.66,594.56,1958.23
30.105.001014.SER,"Galeria em concreto célula 1.5 x 1.5 m profundidade de 5 a 7.5 m",m,1487.36,683.66,2171.02
30.105.001015.SER,"Galeria em concreto célula 1.5 x 1.5 m profundidade de 7.5 a 10 m",m,1700.61,759.78,2460.39
30.105.001016.SER,"Galeria em concreto célula 1.5 x 1.5 m profundidade de 10 a 12.5 m",m,1749.01,794.64,2543.66
30.105.001017.SER,"Galeria em concreto célula 1.5 x 1.5 m profundidade de 12.5 a 15 m",m,1802.79,833.38,2636.17
30.105.001025.SER,"Galeria em concreto célula 2 x 2 m profundidade de até 1 m",m,1906.59,861.60,2768.19
30.105.001026.SER,"Galeria em concreto célula 2 x 2 m profundidade de 1 a 2.5 m",m,1756.00,753.14,2509.14
30.105.001027.SER,"Galeria em concreto célula 2 x 2 m profundidade de 2.5 a 5 m",m,2022.16,848.06,2870.21
30.105.001028.SER,"Galeria em concreto célula 2 x 2 m profundidade de 5 a 7.5 m",m,2213.40,985.55,3198.95
30.105.001029.SER,"Galeria em concreto célula 2 x 2 m profundidade de 7.5 a 10 m",m,2468.13,1075.95,3544.08
30.105.001030.SER,"Galeria em concreto célula 2 x 2 m profundidade de 10 a 12.5 m",m,2618.71,1184.41,3803.12
30.105.001031.SER,"Galeria em concreto célula 2 x 2 m profundidade de 12.5 a 15 m",m,2758.54,1285.12,4043.66
30.105.001040.SER,"Galeria em concreto célula 2.5 x 2.5 m profundidade de até 1 m",m,2630.34,1140.29,3770.63
30.105.001041.SER,"Galeria em concreto célula 2.5 x 2.5 m profundidade de 1 a 2.5 m",m,2512.03,1055.07,3567.09
